"","k","Phi","Measure","Mean","S.d."
"129","4","0.012","ARI",0.662441551667386,0.126989737059516
"130","4","0.012","NMI",0.678163792958547,0.0963727777514056
"131","4","0.012","Sil",0.177968390968933,0.0619857520782193
"132","4","0.012","Error",0.605070081970001,0.0239536207592486
"133","4","0.014","ARI",0.666837466959853,0.103731549611623
"134","4","0.014","NMI",0.679967040813526,0.0709643799625315
"135","4","0.014","Sil",0.182216941125859,0.0466327691933402
"136","4","0.014","Error",0.603345846846171,0.0299286790618862
"137","4","0.016","ARI",0.627788318992432,0.124194336227954
"138","4","0.016","NMI",0.659094146853197,0.0907263822222135
"139","4","0.016","Sil",0.167162133185648,0.0559795264022001
"140","4","0.016","Error",0.614119367093082,0.0347699933026636
"141","4","0.018","ARI",0.689490906646572,0.117832652435199
"142","4","0.018","NMI",0.695466023247349,0.0815408811210358
"143","4","0.018","Sil",0.195141682225587,0.0570402064163623
"144","4","0.018","Error",0.60525053000183,0.033506674813198
"145","4","0.02","ARI",0.667269700139041,0.134466045997222
"146","4","0.02","NMI",0.682159683222135,0.0996460268784614
"147","4","0.02","Sil",0.18698480272327,0.0689222260316996
"148","4","0.02","Error",0.610727403820855,0.0253832926859311
"149","4","0.03","ARI",0.703467451310483,0.12158322067768
"150","4","0.03","NMI",0.70494304981606,0.0859239720181926
"151","4","0.03","Sil",0.20049986009721,0.054317799950034
"152","4","0.03","Error",0.61064444287547,0.0317944308459766
"153","4","0.04","ARI",0.706407635719884,0.144499717540171
"154","4","0.04","NMI",0.707528758818019,0.113586839500445
"155","4","0.04","Sil",0.19790411395007,0.0748857166394683
"156","4","0.04","Error",0.608843429952072,0.0365623951409711
"157","5","0","ARI",0.676711768525371,0.0452064473167809
"158","5","0","NMI",0.654818042825026,0.0333720439301135
"159","5","0","Sil",0.146599627249942,0.0302908795685536
"160","5","0","Error",0.629804332490655,0.0218645710860602
"161","5","0.002","ARI",0.483459612997412,0.0689307731267125
"162","5","0.002","NMI",0.524246217026036,0.0570185959264767
"163","5","0.002","Sil",0.0612018030433985,0.0388667060870208
"164","5","0.002","Error",0.618277511410863,0.0264432439686193
"165","5","0.004","ARI",0.481546066818721,0.102087836868288
"166","5","0.004","NMI",0.513352025799475,0.0774485459954799
"167","5","0.004","Sil",0.0467454059957452,0.0555723601072173
"168","5","0.004","Error",0.613979016387119,0.0299575662032189
"169","5","0.006","ARI",0.467382548136107,0.0927004197676611
"170","5","0.006","NMI",0.504668610553825,0.0697068844991885
"171","5","0.006","Sil",0.0371815096953348,0.0486507076520677
"172","5","0.006","Error",0.604231864045035,0.0222537862754491
"173","5","0.008","ARI",0.498926644659653,0.0973970298498442
"174","5","0.008","NMI",0.528888773723601,0.075014329246381
"175","5","0.008","Sil",0.0523363135237624,0.0508737640856132
"176","5","0.008","Error",0.601663220128774,0.0178967014366445
"177","5","0.01","ARI",0.494046432885379,0.0872839420391331
"178","5","0.01","NMI",0.515794780117646,0.0703449628203233
"179","5","0.01","Sil",0.0430274829557268,0.0488210924077697
"180","5","0.01","Error",0.60833375611117,0.0309956104986779
"181","5","0.012","ARI",0.509980612999114,0.104471681237835
"182","5","0.012","NMI",0.529863644949273,0.0785027778278997
"183","5","0.012","Sil",0.0519657143231786,0.0523589134752287
"184","5","0.012","Error",0.614559315918665,0.0328723071598904
"185","5","0.014","ARI",0.483165028380328,0.095194008230456
"186","5","0.014","NMI",0.513746052350865,0.0727110281002973
"187","5","0.014","Sil",0.0449214963699519,0.0508439847209762
"188","5","0.014","Error",0.608031629298307,0.0288181544746701
"189","5","0.016","ARI",0.502074184255585,0.0832302788749063
"190","5","0.016","NMI",0.5263049110266,0.0659811984025457
"191","5","0.016","Sil",0.0535471455626143,0.048554384776449
"192","5","0.016","Error",0.610605490778418,0.0273240766305419
"193","5","0.018","ARI",0.506542919341515,0.09893080541403
"194","5","0.018","NMI",0.524526014787808,0.0793954742262337
"195","5","0.018","Sil",0.050525947034563,0.0506015193227814
"196","5","0.018","Error",0.605970468960746,0.0345471998507628
"197","5","0.02","ARI",0.532360029791328,0.098841777228273
"198","5","0.02","NMI",0.541850432745587,0.0796902067770441
"199","5","0.02","Sil",0.053927082795125,0.0566960059073558
"200","5","0.02","Error",0.615803630793665,0.0234819244938054
"201","5","0.03","ARI",0.492540206061868,0.0863467059537033
"202","5","0.03","NMI",0.512530704418143,0.0677441861099419
"203","5","0.03","Sil",0.0485934517092808,0.0423068661960529
"204","5","0.03","Error",0.603646669481176,0.0320635019305136
"205","5","0.04","ARI",0.556975430168959,0.104573815748223
"206","5","0.04","NMI",0.563928625347034,0.0756923146911428
"207","5","0.04","Sil",0.0731501381672961,0.0536863602304873
"208","5","0.04","Error",0.615632573128843,0.0276817733112247
"209","6","0","ARI",0.584535988473807,0.0571014954960389
"210","6","0","NMI",0.577202165745853,0.0410528742415782
"211","6","0","Sil",0.0832569816029652,0.0293508191467102
"212","6","0","Error",0.633021690484997,0.0259616793612529
"213","6","0.002","ARI",0.368212953084329,0.0574867955946333
"214","6","0.002","NMI",0.408082297898422,0.0504381855865826
"215","6","0.002","Sil",-0.0387240239621441,0.038878307675027
"216","6","0.002","Error",0.630294664667406,0.0404281517875756
"217","6","0.004","ARI",0.365758924298837,0.0773728472928598
