"","k","Phi","Measure","Mean","S.d."
"224","6","0.006","Error",0.816838277448088,0.0272556693456876
"225","6","0.008","ARI",0.388844046881301,0.0948642678778187
"226","6","0.008","NMI",0.430648914218172,0.0932489893412889
"227","6","0.008","Sil",0.00478440692422874,0.0323079815571915
"228","6","0.008","Error",0.827112603550252,0.0358431406690221
"229","6","0.01","ARI",0.356991641961464,0.0918096973974087
"230","6","0.01","NMI",0.414967622944784,0.080215841853088
"231","6","0.01","Sil",-0.00529469933010986,0.0257635417792382
"232","6","0.01","Error",0.822280858649596,0.0276916509043096
"233","6","0.012","ARI",0.353250823404144,0.0871125024299058
"234","6","0.012","NMI",0.405488004399274,0.0853300235824594
"235","6","0.012","Sil",-0.00722769906142111,0.0207577469468987
"236","6","0.012","Error",0.825153474431821,0.0437468318268543
"237","6","0.014","ARI",0.35166145282755,0.10032319299582
"238","6","0.014","NMI",0.405244775144715,0.0855189714684739
"239","6","0.014","Sil",-0.00768335305141492,0.0332782895265705
"240","6","0.014","Error",0.830614975632842,0.0427918837881029
"241","6","0.016","ARI",0.319663052631249,0.0836673821065148
"242","6","0.016","NMI",0.373634321278282,0.0752598793939305
"243","6","0.016","Sil",-0.0182499489606946,0.031734790579985
"244","6","0.016","Error",0.829289520396033,0.0299188989633793
"245","6","0.018","ARI",0.316403114965278,0.0871895982026168
"246","6","0.018","NMI",0.365904556337886,0.0765290559193931
"247","6","0.018","Sil",-0.0194942265765976,0.0236153484178341
"248","6","0.018","Error",0.837273498340595,0.0377525935771406
"249","6","0.02","ARI",0.366237266210462,0.0961793273766525
"250","6","0.02","NMI",0.410200531058064,0.0859756459549444
"251","6","0.02","Sil",-0.00410135696366027,0.02183809688786
"252","6","0.02","Error",0.821337478915496,0.0401089754048631
"253","6","0.03","ARI",0.362118092783481,0.10016660074675
"254","6","0.03","NMI",0.407752720812598,0.0830935778369345
"255","6","0.03","Sil",0.000175119607433786,0.0320236842164969
"256","6","0.03","Error",0.828924159660503,0.0448487532834786
"257","6","0.04","ARI",0.324756807833494,0.0998898181971545
"258","6","0.04","NMI",0.379143206030821,0.0920399985059646
"259","6","0.04","Sil",-0.014741989979409,0.0232778279955129
"260","6","0.04","Error",0.836275627072833,0.0407650507706396
